caseNumber,p_minus_r,p_interruptions,p_words,p_times,p_laughter,p_num_counsel,p_num_int_by,r_interruptions,r_words,r_times,r_laughter,r_num_counsel,r_num_int_by,j_interruptions,j_words,j_times,j_laughter,j_num_int_by,side,margin,j_num
07-499,0.0006319115323854662,0.008846761453396525,45.214285714285715,0.022116903633491312,0,1,5,0.008214849921011059,29.614285714285714,0.020537124802527645,0.000631911532385466,1,7,0.0034755134281200632,62.042857142857144,0.04391785150078989,0.0018957345971563982,2,1,7,9
07-330,-0.011544804837822978,0.009895547003848268,49.16216216216216,0.02034084661902144,0,1,5,0.021440351841671246,124.89189189189189,0.0434304562946674,0,2,8,0.007146783947223749,114.70270270270271,0.06926882902693787,0.002748763056624519,5,1,3,9
10-8145,-0.0097385955920041,0.0035879036391594054,130.06666666666666,0.007688364941055869,0,1,5,0.013326499231163505,76.73333333333333,0.02409021014864172,0,1,8,0.005125576627370579,128.83333333333334,0.036391594054331115,0.0012813941568426447,5,1,7,9
12-357,-0.002617801047120419,0.004450261780104712,90.95238095238095,0.01099476439790576,0,1,7,0.007068062827225131,96.45238095238095,0.017015706806282723,0,1,6,0.0020942408376963353,93.19047619047619,0.02905759162303665,0.0005235602094240838,4,1,9,9
12-751,0.0016015374759769385,0.012812299807815503,52.91525423728814,0.01889814221652787,0,1,7,0.011210762331838564,58.847457627118644,0.020499679692504803,0.00032030749519538755,2,6,0.007367072389493914,73.61016949152543,0.04067905188981422,0.00032030749519538755,5,1,9,9
14-1132,0.004192286193404137,0.009782001117942985,45.87179487179487,0.021799888205701508,0,1,7,0.005589714924538848,51.48717948717949,0.010899944102850754,0,1,7,0.003353828954723309,46.782051282051285,0.03465623253214086,0.00027948574622694243,5,0,8,8
15-420,0.00026666666666666635,0.0034666666666666665,110.29411764705883,0.009066666666666667,0,1,4,0.0032,57.088235294117645,0.008,0,1,3,0.0021333333333333334,55.85294117647059,0.0184,0,5,1,8,8
13-369,-0.004916420845624385,0.004916420845624385,78.23076923076923,0.012782694198623401,0,1,5,0.00983284169124877,87.61538461538461,0.025237627007538514,0,2,7,0.0032776138970829235,103.56410256410257,0.03933136676499508,0.0009832841691248771,3,1,9,9
12-8561,-0.016075016744809108,0.006697923643670462,55.2962962962963,0.01808439383791025,0,1,4,0.02277294038847957,135.59259259259258,0.05760214333556597,0,2,7,0.012056262558606833,178.55555555555554,0.08640321500334897,0.004018754186202277,5,1,1,9
12-1038,-0.0034038414782397277,0.003160709944079747,100.3170731707317,0.009968392900559203,0,1,4,0.006564551422319475,61.390243902439025,0.016289812788718695,0,1,7,0.002188183807439825,101,0.027473863360077802,0,4,1,9,9
07-608,0.0016159439806086723,0.006733099919202801,66.30357142857143,0.015082143819014274,0,1,4,0.005117155938594129,36.55357142857143,0.015351467815782387,0,1,6,0.00134661998384056,75.41071428571429,0.031780231618637224,0.0005386479935362241,2,1,5,9
07-588,-0.00253592561284869,0.007326007326007326,61.189655172413794,0.016342631727247113,0,2,6,0.009861932938856016,57.37931034482759,0.018878557340095803,0,1,6,0.00422654268808115,81.17241379310344,0.03663003663003663,0.0008453085376162299,3,1,1,9
12-7822,0.0026116479498563597,0.006267955079655263,78.14285714285714,0.012797074954296161,0.00026116479498563595,1,6,0.003656307129798903,57.51020408163265,0.010185427004439801,0,2,2,0.00026116479498563595,80.91836734693878,0.02298250195873596,0.00026116479498563595,1,0,3,9
09-152,-0.004082914572864322,0.005653266331658292,58.96296296296296,0.016959798994974875,0.000314070351758794,1,7,0.009736180904522614,66.29629629629629,0.02041457286432161,0,2,6,0.005339195979899497,68.31481481481481,0.038316582914572864,0.0009422110552763819,5,0,4,8
12-10882,-0.002083333333333333,0.007291666666666667,60,0.016666666666666666,0,1,7,0.009375,60.104166666666664,0.022916666666666665,0,1,7,0.00625,90.95833333333333,0.042708333333333334,0.00034722222222222224,4,1,1,9
08-1555,-0.0006129328838492178,0.01256512411890898,51.79365079365079,0.01930738584125038,0,1,8,0.013178057002758198,64.82539682539682,0.021146184492798037,0.00030646644192460924,2,7,0.009500459699662888,73.60317460317461,0.04290530186944529,0.001225865767698437,4,0,9,9
11-161,-0.0002820874471086039,0.009026798307475317,51.3768115942029,0.019464033850493653,0.000846262341325811,1,5,0.00930888575458392,61.05797101449275,0.017489421720733426,0,1,7,0.005359661495063469,66.27536231884058,0.0386459802538787,0.0011283497884344146,5,0,3,9
06-989,-0.0018918918918918925,0.0075675675675675675,37.37373737373738,0.026756756756756758,0.0002702702702702703,1,6,0.00945945945945946,29.181818181818183,0.01972972972972973,0,1,7,0.0075675675675675675,55.15151515151515,0.04810810810810811,0.0005405405405405405,4,0,3,9
09-907,0.0026525198938992045,0.010167992926613616,27.253012048192772,0.03669319186560566,0,1,6,0.007515473032714412,26.63855421686747,0.013262599469496022,0,1,5,0.004420866489832007,50.963855421686745,0.0641025641025641,0.0008841732979664014,5,0,7,9
07-1059,-0.003323958066990539,0.004091025313219126,93.11904761904762,0.010738941447200204,0,2,5,0.007414983380209665,72.92857142857143,0.013040143185885963,0,1,6,0.002045512656609563,82.28571428571429,0.024034773715162362,0,3,1,9,9
08-479,0.0033907146583202928,0.008868022952529996,35.5,0.028169014084507043,0,2,8,0.005477308294209703,18.73148148148148,0.01695357329160146,0,1,7,0.0036515388628064684,51.74074074074074,0.048513302034428794,0.0010432968179447052,6,0,7,9
07-1437,0,0.004130335016062414,80.70370370370371,0.012391005048187242,0,1,4,0.004130335016062414,107.03703703703704,0.011932078935291418,0,1,3,0.0013767783386874712,101.22222222222223,0.027535566773749427,0.0018357044515832951,3,1,9,9
14-185,-0.0020703933747412005,0.0033126293995859213,105,0.009523809523809525,0,1,4,0.005383022774327122,154.6086956521739,0.014906832298136646,0,2,6,0.0033126293995859213,135.08695652173913,0.02732919254658385,0.0016563146997929607,6,1,7,9
08-1332,-0.00394297846527146,0.006976038823172581,48.48529411764706,0.02062481043372763,0,2,6,0.01091901728844404,40.86764705882353,0.023961176827418867,0.00030330603579011223,1,8,0.005762814680012132,66.79411764705883,0.047315741583257506,0.0021231422505307855,6,1,9,9
09-520,-0.0028694404591104736,0.003586800573888092,97.25581395348837,0.010282161645145864,0,2,5,0.006456241032998565,74.48837209302326,0.01649928263988522,0.00023912003825920613,1,6,0.0023912003825920613,88.02325581395348,0.02702056432329029,0.0007173601147776184,2,1,5,9
12-1226,-0.0013037809647979143,0.005736636245110821,73.75,0.013559322033898305,0,2,6,0.0070404172099087356,54.73076923076923,0.014602346805736636,0,1,5,0.00469361147327249,83.76923076923077,0.03155149934810952,0.0002607561929595828,7,1,3,9
13-1041,0.003953771289537713,0.009428223844282239,63.23076923076923,0.015815085158150853,0.00030413625304136254,1,8,0.005474452554744526,35.32692307692308,0.011253041362530414,0,1,5,0.0024330900243309003,66.23076923076923,0.02737226277372263,0.00030413625304136254,2,1,9,9
06-1286,-0.003186743148502231,0.006692160611854685,64.04081632653062,0.01561504142766093,0,1,6,0.009878903760356916,47.16326530612245,0.020076481835564052,0,1,8,0.0022307202039515616,98.06122448979592,0.03855959209687699,0.0012746972594008922,4,0,9,9
