"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"1980-001","1980-001-01","1980-001-01-01","1980-001-01-01-01",10/20/1980,2,"449 U.S. 1","101 S. Ct. 42","66 L. Ed. 2d 1","1980 U.S. LEXIS 151",1980,1506,"Burger","79-1901","COLORADO v. BANNISTER",,,28,7,100,,1,,,0,302,7,300,7,0,12,2,2,1,5,0,1,0,0,10060,1,1,0,2,,2,205,,,99,1,9,0
"1980-002","1980-002-01","1980-002-01-01","1980-002-01-01-01",11/10/1980,2,"449 U.S. 5","101 S. Ct. 173","66 L. Ed. 2d 163","1980 U.S. LEXIS 1",1980,1506,"Burger","79-6000","HUGHES v. ROWE et al.",,,215,,19,17,1,117,17,0,66,,27,,1,12,2,1,1,4,0,1,0,0,60010,6,2,0,4,,3,328,,,92,1,7,1
"1980-003","1980-003-01","1980-003-01-01","1980-003-01-01-01",11/17/1980,1,"449 U.S. 24","101 S. Ct. 183","66 L. Ed. 2d 185","1980 U.S. LEXIS 9",1980,1506,"Burger","79-1186","DENNIS v. SPARKS et al., DBA SIDNEY A. SPARKS, TRUSTEE",10/8/1980,,214,,187,,1,,,0,121,,25,,0,3,3,2,1,2,0,0,0,0,20400,2,2,0,4,,3,314,,95,99,1,9,0
"1980-004","1980-004-01","1980-004-01-01","1980-004-01-01-01",11/17/1980,2,"449 U.S. 33","101 S. Ct. 188","66 L. Ed. 2d 193","1980 U.S. LEXIS 152",1980,1506,"Burger","79-1895","ALLIED CHEMICAL CORP. et al. v. DAIFLON, INC.",,,128,,233,,1,,,0,107,,30,,0,12,6,2,1,3,0,1,0,0,90330,9,1,0,3,,,,,,99,1,5,0
"1980-005","1980-005-01","1980-005-01-01","1980-005-01-01-01",11/17/1980,2,"449 U.S. 39","101 S. Ct. 192","66 L. Ed. 2d 199","1980 U.S. LEXIS 2",1980,1506,"Burger","80-321","STONE et al. v. GRAHAM, SUPERINTENDENT OF PUBLIC INSTRUCTION OF KENTUCKY",,,130,,28,21,1,,,0,302,21,300,21,1,12,2,1,3,3,0,1,0,0,30170,3,2,0,2,,2,203,,,92,1,5,2
"1980-006","1980-006-01","1980-006-01-01","1980-006-01-01-01",12/1/1980,4,"449 U.S. 48","101 S. Ct. 557","66 L. Ed. 2d 253","1980 U.S. LEXIS 153",1980,1506,"Burger","1 ORIG","WISCONSIN et al. v. ILLINOIS et al.",,,28,58,28,17,9,,,0,,,,,0,1,,,1,,0,0,0,0,110020,11,3,0,3,,,,,,99,1,8,0
"1980-007","1980-007-01","1980-007-01-01","1980-007-01-01-01",12/2/1980,1,"449 U.S. 54","101 S. Ct. 289","66 L. Ed. 2d 258","1980 U.S. LEXIS 154",1980,1506,"Burger","79-1003","COUNTY OF IMPERIAL, CALIFORNIA, et al. v. MUNOZ et al.",10/15/1980,,5,6,159,,1,,,0,51,,29,,0,12,2,2,1,5,0,1,0,0,90090,9,1,0,4,,6,600,"28 U.S.C. § 2283",94,99,1,6,2
"1980-008","1980-008-01","1980-008-01-01","1980-008-01-01-01",12/2/1980,1,"449 U.S. 64","101 S. Ct. 295","66 L. Ed. 2d 268","1980 U.S. LEXIS 56",1980,1506,"Burger","79-770","ENVIRONMENTAL PROTECTION AGENCY v. NATIONAL CRUSHED STONE ASSOCIATION et al.",10/7/1980,,333,,187,,1,33,,0,24,,24,,0,2,3,1,1,3,0,1,0,0,80130,8,2,0,4,5,3,338,,95,99,1,8,0
"1980-009","1980-009-01","1980-009-01-01","1980-009-01-01-01",12/8/1980,2,"449 U.S. 86","101 S. Ct. 308","66 L. Ed. 2d 304","1980 U.S. LEXIS 155",1980,1506,"Burger","79-2040","PACILEO, SHERIFF v. WALKER",,,28,6,215,,1,,,0,302,6,300,6,0,12,,2,1,4,0,1,0,0,90020,9,1,0,2,,1,145,,,99,1,8,0
"1980-010","1980-010-01","1980-010-01-01","1980-010-01-01-01",12/9/1980,1,"449 U.S. 90","101 S. Ct. 411","66 L. Ed. 2d 308","1980 U.S. LEXIS 156",1980,1506,"Burger","79-935","ALLEN et al. v. MCCURRY",10/8/1980,,19,30,126,,1,,,0,86,,28,,0,11,3,2,1,4,0,1,0,0,20400,2,1,0,4,7,3,314,,94,99,1,6,3
"1980-011","1980-011-01","1980-011-01-01","1980-011-01-01-01",12/9/1980,1,"449 U.S. 117","101 S. Ct. 426","66 L. Ed. 2d 328","1980 U.S. LEXIS 3",1980,1506,"Burger","79-567","UNITED STATES v. DIFRANCESCO",10/6/1980,,27,,126,,1,,,0,97,,22,,1,10,9,2,1,4,0,1,0,0,10170,1,1,0,1,,2,206,,100,99,1,5,4
"1980-012","1980-012-01","1980-012-01-01","1980-012-01-01-01",12/9/1980,1,"449 U.S. 155","101 S. Ct. 446","66 L. Ed. 2d 358","1980 U.S. LEXIS 157",1980,1506,"Burger","79-1033","WEBB'S FABULOUS PHARMACIES, INC., et al. v. BECKWITH, CLERK OF THE CIRCUIT COURT OF SEMINOLE COUNTY, et al.",10/14/1980,,123,,5,12,2,,,0,302,12,300,12,1,1,3,2,3,3,0,1,0,0,40070,4,1,0,2,,2,211,,100,99,1,9,0
"1980-013","1980-013-01","1980-013-01-01","1980-013-01-01-01",12/9/1980,1,"449 U.S. 166","101 S. Ct. 453","66 L. Ed. 2d 368","1980 U.S. LEXIS 158",1980,1506,"Burger","79-870","UNITED STATES RAILROAD RETIREMENT BOARD v. FRITZ",10/6/1980,,402,,230,,2,,,0,69,,69,,0,1,,2,1,3,0,1,0,0,20180,2,1,0,1,,2,212,,102,99,1,7,2
"1980-014","1980-014-01","1980-014-01-01","1980-014-01-01-01",12/9/1980,6,"449 U.S. 199","101 S. Ct. 632","66 L. Ed. 2d 391","1980 U.S. LEXIS 159",1980,1506,"Burger","79-5962","VINCENT v. TEXAS",11/5/1980,,100,,28,51,2,,,0,302,51,300,51,0,1,,1,1,9,0,0,0,0,90160,9,1,0,3,,,,,,99,1,9,0
"1980-015","1980-015-01","1980-015-01-01","1980-015-01-01-01",12/15/1980,1,"449 U.S. 200","101 S. Ct. 471","66 L. Ed. 2d 392","1980 U.S. LEXIS 160",1980,1506,"Burger","79-983","UNITED STATES v. WILL et al.",10/14/1980,,27,,16,60,2,,,0,66,,66,,0,1,,3,2,7,0,1,0,0,130020,13,3,0,4,3,6,600,"28 U.S.C. § 455",99,99,1,8,0
"1980-016","1980-016-01","1980-016-01-01","1980-016-01-01-01",12/15/1980,1,"449 U.S. 232","101 S. Ct. 488","66 L. Ed. 2d 416","1980 U.S. LEXIS 10",1980,1506,"Burger","79-900","FEDERAL TRADE COMMISSION et al. v. STANDARD OIL COMPANY OF CALIFORNIA",10/15/1980,,357,,198,,1,57,,0,50,,29,,0,10,3,2,1,4,0,1,0,0,90120,9,1,0,4,5,3,305,,101,99,1,8,0
"1980-017","1980-017-01","1980-017-01-01","1980-017-01-01-01",12/15/1980,1,"449 U.S. 250","101 S. Ct. 498","66 L. Ed. 2d 431","1980 U.S. LEXIS 161",1980,1506,"Burger","79-939","DELAWARE STATE COLLEGE et al. v. RICKS",10/7/1980,,26,9,10,9,1,117,9,0,54,,23,,0,12,3,2,1,4,0,1,0,0,20060,2,1,0,4,,3,384,,101,99,1,5,4
"1980-018","1980-018-01","1980-018-01-01","1980-018-01-01-01",12/15/1980,1,"449 U.S. 268","101 S. Ct. 509","66 L. Ed. 2d 446","1980 U.S. LEXIS 57",1980,1506,"Burger","79-816","POTOMAC ELECTRIC POWER CO. v. DIRECTOR, OFFICE OF WORKERS' COMPENSATION PROGRAMS, U.S. DEPARTMENT OF LABOR, et al.",10/8/1980,,151,,393,,1,11,,0,32,,32,,1,12,2,2,1,3,0,1,0,0,80050,8,1,0,4,5,3,349,,103,99,1,8,1
"1980-019","1980-019-01","1980-019-01-01","1980-019-01-01-01",1/12/1981,2,"449 U.S. 292","101 S. Ct. 549","66 L. Ed. 2d 513","1981 U.S. LEXIS 51",1980,1506,"Burger","80-243","UNITED STATES v. DARUSMONT ET UX.",,,27,,240,,2,69,,0,49,,49,,0,1,,1,1,4,0,1,0,0,120010,12,2,0,1,,2,207,,,99,1,9,0
"1980-020","1980-020-01","1980-020-01-01","1980-020-01-01-01",1/13/1981,7,"449 U.S. 302","101 S. Ct. 633","66 L. Ed. 2d 521","1981 U.S. LEXIS 52",1980,1506,"Burger","79-938","ALLSTATE INSURANCE CO. v. HAGUE, PERSONAL REPRESENTATIVE OF HAGUE'S ESTATE",10/6/1980,,171,,208,,1,,,0,302,28,300,28,0,12,2,1,1,2,0,0,0,0,40060,4,1,0,2,,1,143,,92,92,1,5,3
"1980-021","1980-021-01","1980-021-01-01","1980-021-01-01-01",1/13/1981,1,"449 U.S. 341","101 S. Ct. 654","66 L. Ed. 2d 549","1981 U.S. LEXIS 53",1980,1506,"Burger","79-5949","WATKINS v. SOWDERS, WARDEN",11/10/1980,,100,,28,21,1,,,0,74,,26,,0,11,2,1,1,2,0,0,0,0,10150,1,1,0,2,,2,230,,94,99,1,7,2
"1980-022","1980-022-01","1980-022-01-01","1980-022-01-01-01",1/13/1981,1,"449 U.S. 361","101 S. Ct. 665","66 L. Ed. 2d 564","1981 U.S. LEXIS 54",1980,1506,"Burger","79-395","UNITED STATES v. MORRISON",12/10/1980,,27,,100,,1,,,0,109,,23,,0,11,3,2,1,4,0,1,0,0,10120,1,1,0,1,,2,214,,95,99,1,9,0
"1980-023","1980-023-01","1980-023-01-01","1980-023-01-01-01",1/13/1981,1,"449 U.S. 368","101 S. Ct. 669","66 L. Ed. 2d 571","1981 U.S. LEXIS 55",1980,1506,"Burger","79-1420","FIRESTONE TIRE & RUBBER CO. v. RISJORD",11/12/1980,,184,,111,,1,,,0,87,,28,,0,2,2,2,1,5,0,1,0,0,90380,9,1,0,3,4,6,600,"28 U.S.C. § 1291",98,99,1,9,0
"1980-024","1980-024-01","1980-024-01-01","1980-024-01-01-01",1/13/1981,1,"449 U.S. 383","101 S. Ct. 677","66 L. Ed. 2d 584","1981 U.S. LEXIS 56",1980,1506,"Burger","79-886","UPJOHN CO. et al. v. UNITED STATES et al.",11/5/1980,,111,,27,,1,69,,0,82,,26,,0,10,2,1,1,4,0,1,0,0,50040,5,2,0,7,,,,,102,99,1,9,0
"1980-025","1980-025-01","1980-025-01-01","1980-025-01-01-01",1/19/1981,2,"449 U.S. 405","101 S. Ct. 909","66 L. Ed. 2d 616","1981 U.S. LEXIS 57",1980,1506,"Burger","80-5618","MARISCAL v. UNITED STATES",,,126,,27,,1,,,0,45,,29,,0,12,2,1,1,5,0,1,0,0,10280,1,2,0,3,,,,,,99,1,7,2
"1980-026","1980-026-01","1980-026-01-01","1980-026-01-01-01",1/19/1981,4,"449 U.S. 408","101 S. Ct. 912","66 L. Ed. 2d 619","1947 U.S. LEXIS 2970",1980,1506,"Burger","5 ORIG","UNITED STATES v. CALIFORNIA",,,27,,28,6,9,,,0,,,,,0,1,,,1,,0,0,0,0,100010,10,1,0,3,,3,368,,,99,1,8,0
"1980-027","1980-027-01","1980-027-01-01","1980-027-01-01-01",1/21/1981,1,"449 U.S. 411","101 S. Ct. 690","66 L. Ed. 2d 621","1981 U.S. LEXIS 58",1980,1506,"Burger","79-404","UNITED STATES v. CORTEZ et al.",12/1/1980,,27,,100,,1,,,0,45,,29,,1,11,3,2,1,3,0,1,0,0,10060,1,1,0,1,,2,205,,99,99,1,9,0
"1980-028","1980-028-01","1980-028-01-01","1980-028-01-01-01",1/21/1981,1,"449 U.S. 424","101 S. Ct. 698","66 L. Ed. 2d 633","1981 U.S. LEXIS 59",1980,1506,"Burger","79-1013","RUBIN v. UNITED STATES",11/12/1980,,100,,27,,1,,,0,96,,22,,1,11,2,2,1,2,0,0,0,0,10420,1,2,0,2,,3,365,"NA",99,99,1,9,0
"1980-029","1980-029-01","1980-029-01-01","1980-029-01-01-01",1/21/1981,1,"449 U.S. 433","101 S. Ct. 703","66 L. Ed. 2d 641","1981 U.S. LEXIS 60",1980,1506,"Burger","78-1841","CUYLER, CORRECTIONAL SUPERINTENDENT, et al. v. ADAMS",10/7/1980,,28,45,215,,1,,,0,109,,23,,0,2,5,2,1,2,0,0,0,0,10330,1,2,0,1,,1,130,,92,92,1,6,3
"1980-030","1980-030-01","1980-030-01-01","1980-030-01-01-01",1/21/1981,1,"449 U.S. 456","101 S. Ct. 715","66 L. Ed. 2d 659","1981 U.S. LEXIS 14",1980,1506,"Burger","79-1171","MINNESOTA v. CLOVER LEAF CREAMERY CO. et al.",11/3/1980,,28,28,158,,1,,,0,302,28,300,28,0,12,2,1,1,3,0,1,0,0,80110,8,2,0,2,,2,231,,92,99,1,7,1
"1980-031","1980-031-01","1980-031-01-01","1980-031-01-01-01",1/21/1981,1,"449 U.S. 490","101 S. Ct. 737","66 L. Ed. 2d 686","1981 U.S. LEXIS 61",1980,1506,"Burger","79-5602","FEDORENKO v. UNITED STATES",10/15/1980,,106,,27,,1,,,0,58,,25,,0,11,4,1,1,2,0,0,0,0,20280,2,1,0,4,,3,344,,98,99,1,7,2
"1980-032","1980-032-01","1980-032-01-01","1980-032-01-01-01",1/21/1981,1,"449 U.S. 539","101 S. Ct. 764","66 L. Ed. 2d 722","1981 U.S. LEXIS 62",1980,1506,"Burger","79-1601","SUMNER, WARDEN v. MATA",12/9/1980,,28,6,126,,1,,,0,50,,29,,1,12,3,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,,102,99,1,6,3
"1980-033","1980-033-01","1980-033-01-01","1980-033-01-01-01",1/26/1981,1,"449 U.S. 560","101 S. Ct. 802","66 L. Ed. 2d 740","1981 U.S. LEXIS 63",1980,1506,"Burger","79-1260","CHANDLER et al. v. FLORIDA",11/12/1980,,100,,28,12,2,,,0,302,12,301,12,0,1,2,1,1,2,0,0,0,0,10190,1,1,0,3,2,,,,99,99,1,8,0
"1980-034","1980-034-01","1980-034-01-01","1980-034-01-01-01",1/26/1981,1,"449 U.S. 590","101 S. Ct. 817","66 L. Ed. 2d 762","1981 U.S. LEXIS 64",1980,1506,"Burger","79-1068","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION v. ASSOCIATED DRY GOODS CORP.",11/3/1980,,332,,151,,1,32,,0,126,,24,,0,2,2,1,1,4,0,1,0,0,20060,2,2,0,4,,3,384,,94,99,1,6,1
"1980-035","1980-035-01","1980-035-01-01","1980-035-01-01-01",1/26/1981,2,"449 U.S. 609","101 S. Ct. 775","66 L. Ed. 2d 776","1981 U.S. LEXIS 47",1980,1506,"Burger","80-568","CONSOLIDATED RAIL CORPORATION et al. v. NATIONAL ASSOCIATION OF RECYCLING INDUSTRIES, INC., et al.",,,231,,234,,1,66,,0,32,,32,,0,12,4,2,1,5,0,1,0,0,90120,9,1,0,5,4,6,600,"45 U.S.C. § 793",,99,1,8,0
"1980-036","1980-036-01","1980-036-01-01","1980-036-01-01-01",1/26/1981,5,"449 U.S. 608","101 S. Ct. 933","66 L. Ed. 2d 781","1981 U.S. LEXIS 65",1980,1506,"Burger","79-700","WALTER FLEISHER CO., INC. v. COUNTY OF LOS ANGELES et al.",11/4/1980,,501,,5,6,1,,,0,302,6,301,6,0,12,,3,1,2,0,0,0,0,,,3,0,3,,,,,,,1,4,4
"1980-037","1980-037-01","1980-037-01-01","1980-037-01-01-01",2/23/1981,2,"450 U.S. 1","101 S. Ct. 836","67 L. Ed. 2d 1","1981 U.S. LEXIS 66",1980,1506,"Burger","80-338","HCSC-LAUNDRY v. UNITED STATES",,,192,,27,,1,69,,0,109,,23,,0,2,3,2,1,2,0,0,0,0,120010,12,2,0,4,,3,345,,,99,1,7,1
"1980-038","1980-038-01","1980-038-01-01","1980-038-01-01-01",2/24/1981,1,"450 U.S. 24","101 S. Ct. 960","67 L. Ed. 2d 17","1981 U.S. LEXIS 67",1980,1506,"Burger","79-5780","WEAVER v. GRAHAM, GOVERNOR OF FLORIDA",11/5/1980,,215,,28,12,1,,,0,300,12,300,12,0,12,9,1,3,4,0,1,0,0,10180,1,2,0,2,,1,127,,98,99,1,9,0
"1980-039","1980-039-01","1980-039-01-01","1980-039-01-01-01",2/24/1981,1,"450 U.S. 40","101 S. Ct. 970","67 L. Ed. 2d 30","1981 U.S. LEXIS 68",1980,1506,"Burger","79-5688","HUDSON v. LOUISIANA",12/1/1980,,126,,28,22,1,,,0,302,22,300,22,0,12,2,1,1,3,0,1,0,0,10170,1,2,0,2,,2,206,,101,99,1,9,0
"1980-040","1980-040-01","1980-040-01-01","1980-040-01-01-01",2/24/1981,1,"450 U.S. 46","101 S. Ct. 973","67 L. Ed. 2d 36","1981 U.S. LEXIS 15",1980,1506,"Burger","79-927","BOARD OF GOVERNORS OF FEDERAL RESERVE SYSTEM v. INVESTMENT COMPANY INSTITUTE",10/15/1980,,354,,113,,1,54,,0,32,,32,,0,10,2,1,1,3,0,1,0,0,80120,8,2,0,5,4,6,600,"12 U.S.C. § 1843",103,99,1,6,0
"1980-041","1980-041-01","1980-041-01-01","1980-041-01-01-01",2/25/1981,1,"450 U.S. 79","101 S. Ct. 993","67 L. Ed. 2d 59","1981 U.S. LEXIS 69",1980,1506,"Burger","79-1236","CARSON et al. v. AMERICAN BRANDS, INC., T/A AMERICAN TOBACCO CO., et al.",12/10/1980,,182,,151,,1,,,0,126,,24,,1,2,9,1,1,3,0,1,0,0,90380,9,2,0,4,3,6,600,"28 U.S.C. § 1292",92,99,1,9,0
"1980-042","1980-042-01","1980-042-01-01","1980-042-01-01-01",2/25/1981,1,"450 U.S. 91","101 S. Ct. 999","67 L. Ed. 2d 69","1981 U.S. LEXIS 70",1980,1506,"Burger","79-1266","STEADMAN v. SECURITIES AND EXCHANGE COMMISSION",12/3/1980,,119,,405,,1,105,,0,25,,25,,0,2,9,2,1,2,0,0,0,0,80120,8,2,0,4,5,3,305,,92,99,1,7,2
"1980-043","1980-043-01","1980-043-01-01","1980-043-01-01-01",2/25/1981,1,"450 U.S. 107","101 S. Ct. 1010","67 L. Ed. 2d 82","1981 U.S. LEXIS 7",1980,1506,"Burger","79-1631","DEMOCRATIC PARTY OF UNITED STATES et al. v. WISCONSIN ex rel. LA FOLLETTE et al.",12/8/1980,,211,,211,,2,,,0,300,58,300,58,0,1,,1,3,3,0,1,0,0,30010,3,2,0,2,,2,201,,94,99,1,6,3
"1980-044","1980-044-01","1980-044-01-01","1980-044-01-01-01",3/2/1981,2,"450 U.S. 139","101 S. Ct. 1027","67 L. Ed. 2d 123","1981 U.S. LEXIS 71",1980,1506,"Burger","80-485","IMMIGRATION AND NATURALIZATION SERVICE v. JONG HA WANG ET UX.",,,368,,106,,1,7,,0,29,,29,,0,2,3,2,1,3,0,1,0,0,20110,2,1,0,5,4,3,344,,,99,1,6,0
"1980-045","1980-045-01","1980-045-01-01","1980-045-01-01-01",3/2/1981,2,"450 U.S. 147","101 S. Ct. 1032","67 L. Ed. 2d 132","1981 U.S. LEXIS 72",1980,1506,"Burger","80-532","FLORIDA DEPARTMENT OF HEALTH AND REHABILITATIVE SERVICES et al. v. FLORIDA NURSING HOME ASSOCIATION et al.",,,7,12,165,,1,62,,0,58,,25,,0,13,3,2,1,3,0,1,0,0,20180,2,1,0,2,,2,224,,,99,1,6,3
"1980-046","1980-046-01","1980-046-01-01","1980-046-01-01-01",3/3/1981,1,"450 U.S. 156","101 S. Ct. 1037","67 L. Ed. 2d 140","1981 U.S. LEXIS 16",1980,1506,"Burger","79-1907","COMMISSIONER OF INTERNAL REVENUE v. PORTLAND CEMENT COMPANY OF UTAH",1/13/1981,,369,,187,,1,69,,0,9,,30,,0,2,2,1,1,3,0,1,0,0,120010,12,2,0,4,5,3,345,,101,99,1,9,0
"1980-047","1980-047-01","1980-047-01-01","1980-047-01-01-01",3/3/1981,1,"450 U.S. 175","101 S. Ct. 1048","67 L. Ed. 2d 155","1981 U.S. LEXIS 73",1980,1506,"Burger","79-1112","DIAMOND, COMMISSIONER OF PATENTS AND TRADEMARKS v. DIEHR et al.",10/14/1980,,394,,172,,1,94,,0,1,,1,,0,3,3,1,1,2,0,0,0,0,80210,8,1,0,4,,6,600,"35 U.S.C. § 101",102,99,1,5,4
"1980-048","1980-048-01","1980-048-01-01","1980-048-01-01-01",3/4/1981,1,"450 U.S. 221","101 S. Ct. 1074","67 L. Ed. 2d 186","1981 U.S. LEXIS 74",1980,1506,"Burger","79-1380","SCHWEIKER, SECRETARY OF HEALTH AND HUMAN SERVICES v. WILSON et al.",12/2/1980,,363,,229,,2,,,0,66,,66,,0,1,,2,1,3,0,1,0,0,20180,2,1,0,1,,2,212,,100,99,1,5,4
"1980-049","1980-049-01","1980-049-01-01","1980-049-01-01-01",3/4/1981,1,"450 U.S. 248","101 S. Ct. 1089","67 L. Ed. 2d 207","1981 U.S. LEXIS 75",1980,1506,"Burger","79-1764","TEXAS DEPARTMENT OF COMMUNITY AFFAIRS v. BURDINE",12/9/1980,,7,51,9,51,1,117,51,0,122,,25,,0,2,2,2,1,5,0,1,0,0,20060,2,1,0,4,,3,384,,101,99,1,9,0
"1980-050","1980-050-01","1980-050-01-01","1980-050-01-01-01",3/4/1981,1,"450 U.S. 261","101 S. Ct. 1097","67 L. Ed. 2d 220","1981 U.S. LEXIS 76",1980,1506,"Burger","79-6027","WOOD et al. v. GEORGIA",11/4/1980,,217,,28,13,1,,,0,302,13,301,13,0,11,2,1,1,5,0,1,0,0,20330,2,1,1,3,,,,,101,99,1,6,3
"1980-051","1980-051-01","1980-051-01-01","1980-051-01-01-01",3/9/1981,1,"450 U.S. 288","101 S. Ct. 1112","67 L. Ed. 2d 241","1981 U.S. LEXIS 77",1980,1506,"Burger","80-5060","CARTER v. KENTUCKY",1/14/1981,,100,,28,21,1,,,0,302,21,300,21,0,11,2,1,1,4,0,1,0,0,10090,1,2,0,2,,2,210,,94,99,1,8,1
"1980-052","1980-052-01","1980-052-01-01","1980-052-01-01-01",3/9/1981,1,"450 U.S. 311","101 S. Ct. 1124","67 L. Ed. 2d 258","1981 U.S. LEXIS 48",1980,1506,"Burger","79-1336","CHICAGO & NORTH WESTERN TRANSPORTATION CO. v. KALO BRICK & TILE CO.",12/9/1980,,231,,234,,1,66,,0,302,19,301,19,0,11,3,1,1,4,0,1,0,0,100020,10,2,0,4,5,3,343,,98,99,1,9,0
"1980-053","1980-053-01","1980-053-01-01","1980-053-01-01-01",3/9/1981,1,"450 U.S. 333","101 S. Ct. 1137","67 L. Ed. 2d 275","1981 U.S. LEXIS 78",1980,1506,"Burger","79-1709","ALBERNAZ et al. v. UNITED STATES",1/19/1981,,126,,27,,1,,,0,58,,25,,0,12,2,1,1,2,0,0,0,0,10170,1,1,0,1,,2,206,,102,99,1,9,0
"1980-054","1980-054-01","1980-054-01-01","1980-054-01-01-01",3/9/1981,1,"450 U.S. 346","101 S. Ct. 1146","67 L. Ed. 2d 287","1981 U.S. LEXIS 79",1980,1506,"Burger","79-814","DELTA AIR LINES, INC. v. AUGUST",11/12/1980,,104,,183,,1,,,0,66,,27,,0,12,2,2,1,2,0,0,0,0,90110,9,2,0,4,,4,400,,103,92,1,6,3
"1980-055","1980-055-01","1980-055-01-01","1980-055-01-01-01",3/9/1981,5,"450 U.S. 381","101 S. Ct. 1495","67 L. Ed. 2d 311","1981 U.S. LEXIS 80",1980,1506,"Burger","79-855","DIAMOND, COMMISSIONER OF PATENTS AND TRADEMARKS v. BRADLEY ET AL",10/14/1980,,394,,172,,2,94,,0,1,,1,,0,1,,1,1,2,0,0,0,0,80210,8,1,0,3,,,,,,,1,4,4
"1980-056","1980-056-01","1980-056-01-01","1980-056-01-01-01",3/9/1981,6,"450 U.S. 382","101 S. Ct. 1495","67 L. Ed. 2d 312","1981 U.S. LEXIS 84",1980,1506,"Burger","79-5932","DOE et al. v. DELAWARE",1/12/1981,,202,,28,9,2,117,9,0,302,9,300,9,0,1,2,1,1,9,0,0,0,0,90390,9,1,0,3,,,,,,99,1,6,3
"1980-057","1980-057-01","1980-057-01-01","1980-057-01-01-01",3/23/1981,1,"450 U.S. 398","101 S. Ct. 1164","67 L. Ed. 2d 388","1981 U.S. LEXIS 81",1980,1506,"Burger","79-5903","H. L. v. MATHESON, GOVERNOR OF UTAH, et al.",10/6/1980,,175,,28,52,2,,,0,302,52,300,52,0,1,2,1,1,2,0,0,0,0,50020,5,1,0,1,,1,139,,99,99,1,6,3
"1980-058","1980-058-01","1980-058-01-01","1980-058-01-01-01",3/23/1981,1,"450 U.S. 455","101 S. Ct. 1195","67 L. Ed. 2d 428","1981 U.S. LEXIS 82",1980,1506,"Burger","79-1388","KIRCHBERG v. FEENSTRA et al.",12/10/1980,,111,,253,,2,,,0,75,,25,,0,1,3,2,3,2,0,0,0,0,20130,2,2,0,2,3,2,231,,98,99,1,9,0
"1980-059","1980-059-01","1980-059-01-01","1980-059-01-01-01",3/23/1981,7,"450 U.S. 464","101 S. Ct. 1200","67 L. Ed. 2d 437","1981 U.S. LEXIS 83",1980,1506,"Burger","79-1344","MICHAEL M. v. SUPERIOR COURT OF SONOMA COUNTY (CALIFORNIA, REAL PARTY IN INTEREST)",11/4/1980,,179,,6,6,1,,,0,302,6,300,6,0,12,2,1,1,2,0,0,0,0,20130,2,1,0,2,,2,231,,102,99,1,5,4
"1980-060","1980-060-01","1980-060-01-01","1980-060-01-01-01",3/24/1981,1,"450 U.S. 503","101 S. Ct. 1221","67 L. Ed. 2d 464","1981 U.S. LEXIS 8",1980,1506,"Burger","79-1157","ROSEWELL, TREASURER OF COOK COUNTY, ILLINOIS, et al. v. LASALLE NATIONAL BANK, TRUSTEE",11/10/1980,,28,17,195,,1,117,17,0,66,,27,,0,11,3,2,1,3,0,1,0,0,90090,9,1,0,4,,6,600,"28 U.S.C. § 1341",92,99,1,5,4
"1980-061","1980-061-01","1980-061-01-01","1980-061-01-01-01",3/24/1981,1,"450 U.S. 544","101 S. Ct. 1245","67 L. Ed. 2d 493","1981 U.S. LEXIS 9",1980,1506,"Burger","79-1128","MONTANA et al. v. UNITED STATES et al.",12/3/1980,,28,31,27,,1,117,31,0,88,,29,,0,11,3,2,1,4,0,1,0,0,20160,2,1,0,4,,6,600,"11 Stat. 749",94,99,1,6,3
"1980-062","1980-062-01","1980-062-01-01","1980-062-01-01-01",3/24/1981,1,"450 U.S. 582","101 S. Ct. 1266","67 L. Ed. 2d 521","1981 U.S. LEXIS 10",1980,1506,"Burger","79-824","FEDERAL COMMUNICATIONS COMMISSION et al. v. WNCN LISTENERS GUILD et al.",11/3/1980,,338,,207,,1,38,,0,32,,32,,1,12,3,2,1,4,0,1,0,0,80320,8,1,0,5,4,3,326,,95,99,1,7,2
"1980-063","1980-063-01","1980-063-01-01","1980-063-01-01-01",3/24/1981,1,"450 U.S. 621","101 S. Ct. 1287","67 L. Ed. 2d 551","1981 U.S. LEXIS 1",1980,1506,"Burger","79-678","SAN DIEGO GAS & ELECTRIC CO. v. CITY OF SAN DIEGO et al.",12/1/1980,,148,,3,6,2,,,0,302,6,301,6,1,1,3,2,1,9,0,0,0,0,40070,4,2,0,4,3,6,600,"28 U.S.C. § 1257",100,99,1,5,4
