"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2004-023","2004-023-01","2004-023-01-01","2004-023-01-01-01",2/23/2005,1,"543 U.S. 499","125 S. Ct. 1141","160 L. Ed. 2d 949","2005 U.S. LEXIS 2007",2004,1607,"Rehnquist","03-636","GARRISON S. JOHNSON v. CALIFORNIA et al.",11/2/2004,,215,,28,6,1,,,0,48,,29,,1,11,2,1,1,4,0,1,0,0,20040,2,2,0,7,2,2,231,,104,104,1,6,2
"2004-024","2004-024-01","2004-024-01-01","2004-024-01-01-01",3/1/2005,1,"543 U.S. 551","125 S. Ct. 1183","161 L. Ed. 2d 1","2005 U.S. LEXIS 2200",2004,1607,"Rehnquist","03-633","DONALD P. ROPER, SUPERINTENDENT, POTOSI CORRECTIONAL CENTER v. CHRISTOPHER SIMMONS",10/13/2004,,28,30,126,,1,,,0,302,30,300,30,0,12,12,2,3,2,0,0,1,0,10130,1,2,0,3,2,2,221,,106,103,1,5,4
"2004-025","2004-025-01","2004-025-01-01","2004-025-01-01-01",3/1/2005,1,"543 U.S. 631","125 S. Ct. 1172","161 L. Ed. 2d 66","2005 U.S. LEXIS 2199",2004,1607,"Rehnquist","02-1472","CHEROKEE NATION OF OKLAHOMA AND SHOSHONE-PAIUTE TRIBES OF THE DUCK VALLEY RESERVATION v. MICHAEL O. LEAVITT, SECRETARY OF HEALTH AND HUMAN SERVICES, et al.",11/9/2004,,170,,363,,1,26,,0,105,,30,,0,2,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,"25 U.S.C. § 450",110,103,1,8,0
"2004-026","2004-026-01","2004-026-01-01","2004-026-01-01-01",3/2/2005,1,"544 U.S. 1","125 S. Ct. 1230","161 L. Ed. 2d 82","2005 U.S. LEXIS 2202",2004,1607,"Rehnquist","03-1395","GEORGE J. TENET, INDIVIDUALLY, PORTER J. GOSS, DIRECTOR OF CENTRAL INTELLIGENCE AND DIRECTOR OF THE CENTRAL INTELLIGENCE AGENCY, AND UNITED STATES v. JOHN DOE, ET UX.",1/11/2005,,314,,174,,1,,,0,129,,29,,1,12,2,2,1,3,0,1,0,0,80060,8,2,0,7,,,,"NA",102,102,1,9,0
"2004-027","2004-027-01","2004-027-01-01","2004-027-01-01-01",3/7/2005,1,"544 U.S. 13","125 S. Ct. 1254","161 L. Ed. 2d 205","2005 U.S. LEXIS 2205",2004,1607,"Rehnquist","03-9168","REGINALD SHEPARD v. UNITED STATES",11/8/2004,,126,,27,,1,,,0,80,,21,,0,2,5,1,1,4,0,1,0,0,10560,1,2,0,4,7,6,600,"18 U.S.C. § 924",107,103,1,5,3
"2004-028","2004-028-01","2004-028-01-01","2004-028-01-01-01",3/7/2005,1,"544 U.S. 40","125 S. Ct. 1270","161 L. Ed. 2d 227","2005 U.S. LEXIS 2403",2004,1607,"Rehnquist","03-184","CLAUDE M. BALLARD, ET UX. v. COMMISSIONER OF INTERNAL REVENUE",12/7/2004,,240,,369,,1,69,,0,9,,31,,0,11,2,2,1,4,0,1,0,0,90120,9,2,0,3,5,3,345,,109,103,1,7,2
"2004-029","2004-029-01","2004-029-01-01","2004-029-01-01-01",3/7/2005,1,"544 U.S. 74","125 S. Ct. 1242","161 L. Ed. 2d 253","2005 U.S. LEXIS 2204",2004,1607,"Rehnquist","03-287","REGINALD A. WILKINSON, DIRECTOR, OHIO DEPARTMENT OF REHABILITATION AND CORRECTION, et al. v. WILLIAM DWIGHT DOTSON, et al.",12/6/2004,,7,41,215,,1,,,0,103,,26,,0,12,3,2,1,2,0,0,0,0,10020,1,2,0,7,4,3,314,,110,102,1,8,1
"2004-030","2004-030-01","2004-030-01-01","2004-030-01-01-01",3/22/2005,1,"544 U.S. 93","125 S. Ct. 1465","161 L. Ed. 2d 299","2005 U.S. LEXIS 2755",2004,1607,"Rehnquist","03-1423","DARIN L. MUEHLER, et al. v. IRIS MENA",12/8/2004,,19,6,106,,1,,,0,48,,29,,0,12,2,2,1,5,0,1,0,0,10050,1,1,0,7,2,2,205,,102,102,1,9,0
"2004-031","2004-031-01","2004-031-01-01","2004-031-01-01-01",3/22/2005,1,"544 U.S. 113","125 S. Ct. 1453","161 L. Ed. 2d 316","2005 U.S. LEXIS 2754",2004,1607,"Rehnquist","03-1601","CITY OF RANCHO PALOS VERDES, CALIFORNIA, et al. v. MARK J. ABRAMS",1/19/2005,,3,6,195,,1,117,6,0,48,,29,,0,12,4,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,,105,102,1,9,0
"2004-032","2004-032-01","2004-032-01-01","2004-032-01-01-01",3/22/2005,1,"544 U.S. 133","125 S. Ct. 1432","161 L. Ed. 2d 334","2005 U.S. LEXIS 2753",2004,1607,"Rehnquist","03-1039","JILL L. BROWN, WARDEN v. WILLIAM CHARLES PAYTON",11/10/2004,,28,6,126,,1,,,0,48,,29,,1,11,2,2,1,5,0,1,0,0,10130,1,1,0,7,4,3,341,,106,104,1,5,3
